date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200614,IL,133404,1058442,,1914,,562,,328,,,A,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,6489,,2020-06-14T00:00:00Z,1190985,,,132543,17,672,21368,1191846,1191846,22040,1191846,19,0,2464a9fc6cb16651ef117d59859f9bed544ef12e,0,0,0,0,0,
20200614,IN,39909,308482,,869,6419,301,1360,113,,28522,A+,6/13/20 23:59,2020-06-13T23:59:00Z,6/13/20 19:59,2422,6419,2020-06-13T23:59:00Z,,,,39909,18,366,7388,348391,348391,7754,348391,9,70,ee0988cf58647880759275938fc9740a192597c8,0,0,0,0,0,
20200614,KS,11047,118105,,,973,,324,,143,667,A,6/12/20 13:30,2020-06-12T13:30:00Z,6/12/20 9:30,243,973,2020-06-12T13:30:00Z,,,,11047,20,0,0,129152,129152,0,129152,0,0,577e5a6b4970f81ef2263a662a9fbc98084353c3,0,0,0,0,0,
20200614,KY,12445,282140,,410,2433,68,969,,,3409,B,6/13/20 0:00,2020-06-13T00:00:00Z,6/12/20 20:00,499,2433,2020-06-13T00:00:00Z,,,,12125,21,0,0,294585,294585,0,294585,0,0,16525cc292ca49f6d3b9914ee0ce25fef9698b09,0,0,0,0,0,
20200614,LA,46619,462713,,556,,,,76,,33904,B,6/14/20 13:00,2020-06-14T13:00:00Z,6/14/20 9:00,3014,,2020-06-14T13:00:00Z,,,,46619,22,336,4613,509332,509332,4949,509332,10,0,2321810812ea47b704b04d10cd7a9cd3a609a796,0,0,0,0,0,
20200614,MA,105603,607107,,1039,10802,244,,156,,,A+,6/14/20 10:00,2020-06-14T10:00:00Z,6/14/20 6:00,7624,10802,2020-06-14T10:00:00Z,,,,101276,25,208,8906,712710,712710,9114,712710,48,30,5cff67e031a1dc0b079d9af1e0af56f1de2755ae,0,0,0,0,0,
20200614,MD,61701,353608,,751,10165,313,,,,4541,B,6/14/20 10:00,2020-06-14T10:00:00Z,6/14/20 6:00,2939,10165,2020-06-14T10:00:00Z,492305,,,61701,24,396,6155,415309,415309,6551,415309,13,112,c797a8d800e6dded4c3632533dcfe53d85356c41,0,0,0,0,0,
20200614,ME,2793,67065,,29,314,10,,5,,2173,B,6/14/20 12:15,2020-06-14T12:15:00Z,6/14/20 8:15,100,314,2020-06-14T12:15:00Z,70589,3413,67065,2486,23,36,1472,69858,69858,1508,69858,0,1,5fb21eb96b985dffce0d2f3a651fb46a61988a29,0,0,0,0,0,
20200614,MI,66054,747444,,636,,253,,139,,44964,A+,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,6016,,2020-06-14T00:00:00Z,829523,82079,747444,59990,26,218,13797,813498,813498,14015,813498,3,0,5378d3d443674480fbb3e38242f0d5cf81208dcb,0,0,0,0,0,
20200614,MN,30471,387239,,369,3610,186,1110,,,26090,A,6/13/20 17:00,2020-06-13T17:00:00Z,6/13/20 13:00,1329,3610,2020-06-13T17:00:00Z,417710,,,30471,27,6,-6,417710,417710,0,417710,15,29,7ddd923557bcde78fbc28340bd4e98375c575448,0,0,0,0,0,
